Small Bottled Water (3L)	3000	800
Bottled Water (12L)	12000	850
Prescription Medicines	1000	1000
Medical Kit	3000	950
First Aid Kit	2000	920
Water Purifier Tablets	10	980
Rice (10kg)	10000	700
Baby Formula	2000	850
Canned Food (mixed)	6000	750
Instant Noodles (1 box)	4000	720
Biscuits (Dry food)	3000	780
Salt & Sugar Pack	2000	700
Toiletries Pack	3000	500
Sanitary Pads	1000	600
Baby Diapers	2000	620
Adult Diapers	2000	550
Antiseptic Wipes	10	700
Soap Bars	1000	420
Towel Set	2000	300
Warm Clothing Set	4000	400
Blanket	5000	350
Raincoat	2000	320
Powerbank	1000	200
Flashlight	1000	250
Battery Pack	1000	220
Radio (Battery-powered)	2000	210
Basic Tools Kit	7000	120
Rope Bundle	2000	200
Tarp/Canvas Sheet	6000	100
Portable Stove	4000	130
Cooking Pot Set	5000	100
Energy Bars Pack	1000	650
